PY,label_x:-58.3052352,label_y:-23.4876365
UY,label_x:-56.0116514,label_y:-33.2421876
BO,label_x:-64.30772,label_y:-17.8620184
BR,label_x:-52.3085551,label_y:-9.6834685
PE,label_x:-75.5162138,label_y:-9.7885605
EC,label_x:-78.3567437,label_y:-1.5193273
CO,label_x:-74.8013003,label_y:3.3747423
VE,label_x:-66.0916048,label_y:7.0767736
GY,label_x:-58.8012748,label_y:4.6333689
SR,label_x:-55.1591366,label_y:5.831058
TT,label_x:-61.2559084,label_y:10.485968
GD,label_x:-61.6549582,label_y:12.155863
VC,label_x:-61.1890644,label_y:13.0073262
BB,label_x:-59.5551438,label_y:13.1690249
LC,label_x:-60.9645185,label_y:13.8952876
MQ,label_x:-61.0354199,label_y:14.6474199
DM,label_x:-61.3602606,label_y:15.3977311
GP,label_x:-61.4556112,label_y:16.2181036
MS,label_x:-62.1923341,label_y:16.7374079
AG,label_x:-61.796428,label_y:17.060816
KN,label_x:-62.7443554,label_y:17.3153417
SX,label_x:-63.0592201,label_y:18.0423395
AI,label_x:-63.0643946,label_y:18.2306172
BL,label_x:-62.8144003,label_y:17.9124262
BL,label_x:-62.8144003,label_y:17.9124262
VG,label_x:-64.3193072,label_y:18.719104
DO,label_x:-70.086478,label_y:18.892313
HT,label_x:-71.997441,label_y:18.9640264
TC,label_x:-71.71875,label_y:21.8003081
JM,label_x:-77.1609054,label_y:18.1153676
CU,label_x:-77.8228634,label_y:21.3271808
PA,label_x:-80.4058596,label_y:8.6410332
CR,label_x:-83.917331,label_y:9.6412628
NI,label_x:-84.9087258,label_y:12.1394317
HN,label_x:-87.2256433,label_y:14.504704
GT,label_x:-90.5600285,label_y:15.6093419
BZ,label_x:-88.7417695,label_y:17.0241062
MX,label_x:-102.5725396,label_y:22.77552
US,label_x:-98.6785034,label_y:39.999733
CA,label_x:-102.0323814,label_y:58.111966
SB,label_x:160.1561951,label_y:-9.6457121
FM,label_x:158.2434836,label_y:6.8885815
MH,label_x:167.4758192,label_y:9.39583
NR,label_x:166.9231353,label_y:-0.528743
VU,label_x:168.3651785,label_y:-17.6738885
NC,label_x:165.2443266,label_y:-21.235202
NF,label_x:167.9557209,label_y:-29.0389475
FJ,label_x:177.9848072,label_y:-17.7929927
TO,label_x:-175.2728401,label_y:-21.1676654
NU,label_x:-169.8601692,label_y:-19.0500044
WS,label_x:-172.4389349,label_y:-13.621469
WF,label_x:-176.2081211,label_y:-13.285568
TK,label_x:-171.2646918,label_y:-9.375398
TV,label_x:179.198109,label_y:-8.520721
PF,label_x:-149.406843,label_y:-17.679742
KI,label_x:-157.3918543,label_y:2.002841
FK,label_x:-58.5949322,label_y:-51.7967191
PN,label_x:-128.3264485,label_y:-24.3763885
NZ,label_x:172.7933434,label_y:-41.837112
CC,label_x:96.8265094,label_y:-12.1843223
CX,label_x:105.6394828,label_y:-10.488897
PW,label_x:134.3820604,label_y:7.2568631
MP,label_x:145.7224081,label_y:15.1927277
IS,label_x:-21.8744563,label_y:64.130796
FO,label_x:-6.7715692,label_y:62.0102146
BS,label_x:-77.4,label_y:25.0
BM,label_x:-64.7769129,label_y:32.30368
KZ,label_x:67.3828572,label_y:47.827276
LB,label_x:35.887572,label_y:34.1917381
BH,label_x:50.5882951,label_y:25.9954587
BI,label_x:29.9746774,label_y:-3.4092246
BN,label_x:114.7484533,label_y:4.5381047
MK,label_x:21.7313965,label_y:41.6381916
MN,label_x:103.0667624,label_y:46.8364247
SG,label_x:103.8245805,label_y:1.3043744
SM,label_x:12.4456849,label_y:43.9362979
SV,label_x:-88.912394,label_y:13.539026
SZ,label_x:31.5014922,label_y:-26.5647086
TG,label_x:0.9748853,label_y:8.5616987
AS,label_x:-170.73207,label_y:-14.3244647
oo
